id	filename	md5	size	state
5822bf21-6f8f-4c89-920a-9e93cac82998	95234108-3579-4c2c-af95-7c6780270af4.htseq.counts.gz	2f7ebfbb7882882d6aeab42b48a4ee45	253617	validated
5bc442de-4389-47ef-9972-de8714c72dc5	a9b9f900-b114-48b4-95c7-41793107169f.htseq.counts.gz	8ada8d6596290922a0002d159ba7d796	256473	validated
61154309-836f-400e-b8e3-3b21a8cbda9a	f561e8fc-3ed9-4d8f-be9f-800966251738.htseq.counts.gz	2f853e69bce15fee235b3ed7702114ef	255986	validated
61855026-2489-4fc0-8c62-a2c59f9f02fa	7af5a442-83c8-426b-ba0f-a56783fbc5f2.htseq.counts.gz	038b31416d1bbc20f63e8b59d921143f	262644	validated
6bf358a5-98a3-4b2f-8798-17f4f1a58f75	d82516e5-6536-4666-b834-82111e0de77b.htseq.counts.gz	bef347583dc0cdb3b6b75269f2dab52f	260961	validated
7515bd05-b3a6-4a64-8e06-ffadb6d426d7	4001b986-adbc-4d49-9107-29488ddc6b61.htseq.counts.gz	8e9176a03c35313da929ba320f81e88a	253335	validated
7a876e30-819d-48ef-88d3-71d7d193227c	98fcd5aa-3b1a-4980-a65f-c44a8c070101.htseq.counts.gz	928b64d248d4e066fd624f3ac7af81af	254913	validated
8da17624-c906-425b-9d96-5700e0fb4f0d	0c2381c5-4134-44a4-ac41-e141e89e1b1f.htseq.counts.gz	cda1ef2cae68fe83cee08a943106b5d2	254039	validated
98b2ce85-73f4-4243-9b9b-33dcc70299d3	01c43c5e-8c81-41f0-88f8-94710f5cf1ae.htseq.counts.gz	9dac3e4893f025fb6902af81fd6d737d	247459	validated
a1849ccd-2404-410c-a2e3-3cadffee68dc	f64e55d6-0f87-4a4d-a95e-c0b82f7268db.htseq.counts.gz	eefa8cd1be97d4c2e6f56f4d2157cce8	250513	validated
a56f2388-4568-4b46-add7-be13944f7a2f	55b8f9f7-0fd2-4f59-9cbf-c071fe27c4ef.htseq.counts.gz	4041432617b433a1203de49acbf7d128	253780	validated
ad36ff4b-3cca-4c25-bcbe-afa12dfaab60	16965ae8-a9ab-4780-a2b3-b0bb4bb3ec6e.htseq.counts.gz	ed5cd904e9b7a22fd8e3b9fefdfbe08d	254847	validated
ae6d4635-cd64-4d9c-98e5-e5bbf52ba991	447f0731-1dfc-4c5e-9641-43e2d0a2af43.htseq.counts.gz	59b2c17c59fb575ff1232768cb678ca7	250546	validated
af60ba0b-7e21-4610-a24f-d10b76983621	fbc1a18a-399b-4ecd-a6d0-1770773f9c14.htseq.counts.gz	ffde9266b3082d32beccc8a575728d8d	257986	validated
b34977ce-e41f-46aa-b077-048dabcd89e6	3e6a57fd-0683-48a6-b3cb-32510c49ff2e.htseq.counts.gz	3ebed46fe59967e6fb269ee5883b4300	258685	validated
b5f5173f-9aa6-4e1a-b176-851c80c5068e	156e6312-4cfa-486c-8730-7881580fbc1a.htseq.counts.gz	1e4375910dc864d9a1e7b12ed1c99e36	250021	validated
d604672a-2000-4dfc-b417-94503c57c951	cc54e123-c06a-48a8-b864-7497ecb37c0b.htseq.counts.gz	91f79ddb37d821c7f72f08d3ffe060ad	253162	validated
dd15ef77-1420-4a8f-8e2f-57d2824620d7	7afc9c3c-fad7-4266-a7e4-0628e03e1eef.htseq.counts.gz	0c3db9bdd5d5ef05823f4ee0a82e02bf	254193	validated
e2a4dae6-0714-404a-86a5-0da131a1b2c9	8df93787-af1e-4b07-afa1-f910eda02a1c.htseq.counts.gz	50a0d3437f344bf00d6c023149af065d	255002	validated
e7aa16a1-852d-4b9a-bab5-19a517008284	0ec376a1-d432-48d9-8930-11e912b165f1.htseq.counts.gz	5293b4dbbd5d884a3854cad8aaa9de94	257344	validated
ea29ada8-92b7-4c2c-a413-60581983c007	5be2bd1d-24ac-47c5-9e20-33dea602ed65.htseq.counts.gz	650604a86eb688c2c317ac7fb7b3fd8b	245278	validated
eedd51b0-54fe-4059-8586-b26777043d42	8458d0dd-5bc6-42e7-a60d-2953cec4ac9d.htseq.counts.gz	089ba6bd68aaefaeffb4d447f63fb15f	254348	validated
f039d105-3dfe-4555-b54f-6287a51f3d25	6188f79f-599d-45ff-802f-d1ee94b97b22.htseq.counts.gz	05286f3a7512d4549846f1c79461e067	252333	validated
f229c886-9553-4322-928a-4196c211b7db	ac6fccd6-d05f-40c7-9afe-82fa33ce919a.htseq.counts.gz	8b9c081d056ed14afd388827b3aa5389	247685	validated
f965cf72-ef45-4926-9194-d119ae4e7054	156c4f8b-4467-46d0-bc55-085a29377f3e.htseq.counts.gz	3f550875b4737c1668d74f5f151c06f5	264013	validated
fa195c14-e0f3-4c5a-aa6f-20a553386099	05b3d48b-dad7-4cc0-9a7d-26c40542053e.htseq.counts.gz	a17248c6595991dd1421b078602d846f	255258	validated
